"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","M1","TOT","IDX2010","M","1992-06",0.06428535,
"TUR","M1","TOT","IDX2010","M","1992-07",0.06680655,
"TUR","M1","TOT","IDX2010","M","1992-08",0.06914815,
"TUR","M1","TOT","IDX2010","M","1992-09",0.0729182,
"TUR","M1","TOT","IDX2010","M","1992-10",0.07689486,
"TUR","M1","TOT","IDX2010","M","1992-11",0.08233015,
"TUR","M1","TOT","IDX2010","M","1992-12",0.08794507,
"TUR","M1","TOT","IDX2010","M","1993-01",0.09335715,
"TUR","M1","TOT","IDX2010","M","1993-02",0.09845393,
"TUR","M1","TOT","IDX2010","M","1993-03",0.1050505,
"TUR","M1","TOT","IDX2010","M","1993-04",0.1081227,
"TUR","M1","TOT","IDX2010","M","1993-05",0.1175953,
"TUR","M1","TOT","IDX2010","M","1993-06",0.1243591,
"TUR","M1","TOT","IDX2010","M","1993-07",0.1215915,
"TUR","M1","TOT","IDX2010","M","1993-08",0.1257577,
"TUR","M1","TOT","IDX2010","M","1993-09",0.1300028,
"TUR","M1","TOT","IDX2010","M","1993-10",0.1356167,
"TUR","M1","TOT","IDX2010","M","1993-11",0.14153,
"TUR","M1","TOT","IDX2010","M","1993-12",0.1466766,
"TUR","M1","TOT","IDX2010","M","1994-01",0.1506095,
"TUR","M1","TOT","IDX2010","M","1994-02",0.1511412,
"TUR","M1","TOT","IDX2010","M","1994-03",0.1467513,
"TUR","M1","TOT","IDX2010","M","1994-04",0.1548207,
"TUR","M1","TOT","IDX2010","M","1994-05",0.1826873,
"TUR","M1","TOT","IDX2010","M","1994-06",0.1983272,
"TUR","M1","TOT","IDX2010","M","1994-07",0.2099259,
"TUR","M1","TOT","IDX2010","M","1994-08",0.2315941,
"TUR","M1","TOT","IDX2010","M","1994-09",0.2451498,
"TUR","M1","TOT","IDX2010","M","1994-10",0.2556015,
"TUR","M1","TOT","IDX2010","M","1994-11",0.2647822,
"TUR","M1","TOT","IDX2010","M","1994-12",0.2681586,
"TUR","M1","TOT","IDX2010","M","1995-01",0.2768017,
